atomic type,count
H,69767720
C,61933661
O,8987011
N,6450693
F,1854057
Cl,1207681
S,1071653
P,699202
B,478488
Br,316079
Si,309905
Cu,207277
I,201651
Fe,169958
Ru,107949
Co,107061
Zn,101072
Ni,92081
Se,76568
Mo,71744
Ag,70648
Pd,68806
Mn,59185
Pt,56467
Au,51297
Sn,51086
Cd,48163
W,41348
Rh,40373
Li,39103
Re,35821
Os,34669
Ir,34319
Al,34235
D,32693
Ti,31690
Cr,29434
Sb,27910
K,27218
Na,26340
V,25734
As,23678
Ge,22539
Te,22495
Zr,20785
Hg,20146
Pb,19386
Ga,18853
U,15882
Mg,13364
Bi,12340
Dy,9998
In,9271
Eu,9252
Y,8667
Sm,8014
Ca,7625
Gd,7432
Yb,7326
Tb,7266
Nd,6945
La,6721
Ta,6487
Nb,6038
Er,5847
Ce,5665
Cs,4943
Ba,4698
Tl,4526
Hf,4197
Sr,4115
Pr,4018
Sc,3571
Ho,3371
Rb,3220
Lu,3078
Th,2680
Be,2122
Tc,1962
Tm,1398
Np,659
Pu,378
Xe,253
Ne,142
Am,92
He,40
Cm,12
Cf,6
Ar,6
Bk,4
Pa,4
Unknown,1
